,tweets,hashtags,mentions
0,@CBCNews Stupid Canadians jumping up to defend the massive Gov subsidized Corporations that are gauging the shit out of them. https://t.co/aAygEyHKTK,[],['@CBCNews']
1,The misty rain on the painted bridge  #  spa #     #     #  spa #  spa https://t.co/7RbIVS8jEX,[],[]
2,To love beauty is to see light. https://t.co/cnxvZnX8M2,[],[]
3, how are you?!  me: https://t.co/33r0ouu59L,[],[]
4,Do you like my pokemon?     #     #     #   https://t.co/ck97ATxxrr,[],[]
5,@DMLJRomans @BrennansPen    Hmm. Is this Biblical? Revelation reveals many had space to repent and repented not. https://t.co/JToDerFFCs,[],"['@DMLJRomans', '@BrennansPen']"
6,"in today's narrative, the ""population bomb"" has been replaced with ""climate change""  many cases of people who don't have kids because they believe a slightly warmer planet will lead to human extinction https://t.co/SwRNsIeCho",[],[]
7,Don t mistake equality with equal opportunity. The former is an illusion and unnecessary for civilization whilst the latter is a goal we should strive for globally and critical for progress. https://t.co/07lWsD6tKv,[],[]
8,"Check out much more on Bilibili Comics   search ""Martial Rebel"" and favorite!   #GL #comicbookcover #weeklycomic  https://t.co/0FNTfNOoHr https://t.co/Ps1UDCZJS8","['#GL', '#comicbookcover', '#weeklycomic']",[]
9,@Arsenal  @m8arteta  Do it  https://t.co/F5FTQv1Ats,[],"['@Arsenal', '@m8arteta']"
10,"""Whoever is Anastasia?"" asked the man.  bbi #      #      #       https://t.co/qkBXMeMd4v",[],[]
11,"as an aquarius sun/moon, i say both https://t.co/LEsrs6zCXO",[],[]
12,Me too   https://t.co/aEJQ9cPrzz,[],[]
13,@LFC come on. Do something https://t.co/7rxy56QJ2z,[],['@LFC']
14,Daaaang Fuma   wish I could give my oshi an awesome present too  https://t.co/voDsU8aOtl,[],[]
15,@Vellvye good luck to all! https://t.co/nfROsAY72A,[],['@Vellvye']
16,Sometimes they're in a bottle Sometimes a pair of high heal shoes Some come rolled in paper Some have six strings and only play the blues  Once you meet the devil There's no way he'll let you be When I'm not chasing demons There's demons chasing me https://t.co/9EeuaEY6u9 https://t.co/iMAsDwWwgM,[],[]
17,"r3No cross,   #   #     #        .   https://t.co/4ILbirj4pT",[],[]
18,To love beauty is to see light. https://t.co/shbdi53mWy,[],[]
19,#     #     #      https://t.co/U6uvkENH0h What worry type fine generation give learn.,[],[]
20,Get up to  55! Use my code  Monica17 when you join MoneyLion. https://t.co/60FZozJM04 https://t.co/FhUcWTfpy0,[],[]
21,"tonight!!! doors are at 10, lessssss get it      https://t.co/gEWgIZmccL",[],[]
22,"A group of teachers, staff, bus drivers and administrators attended training today to become CPR certified. Thank you to Rob Jackson Sr. and Rob Jackson Jr. with Midwest Emergency Medical Training for providing the lifesaving training to our staff. https://t.co/qR81x22cVY",[],[]
