referenced_tweets,possibly_sensitive,author_id,reply_settings,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.impression_count,geo.place_id,withheld.copyright,withheld.country_codes
[<ReferencedTweet id=1613883889570795523 type=replied_to],False,1515728423687270400,everyone,@CBCNews Stupid Canadians jumping up to defend the massive Gov subsidized Corporations that are gauging the shit out of them. https://t.co/aAygEyHKTK,0,0,0,0,0,,,
,False,1603786185792528389,everyone,"The misty rain on the painted bridge 
#南京spa #北京按摩 #大连按摩 #北京spa #大连spa https://t.co/7RbIVS8jEX",0,0,0,0,0,,,
[<ReferencedTweet id=1613953508931211264 type=quoted],False,1603111037137555456,everyone,To love beauty is to see light. https://t.co/cnxvZnX8M2,0,0,0,0,0,,,
,False,300515758,everyone,"“how are you?!”
me: https://t.co/33r0ouu59L",0,0,0,0,0,,,
,False,1605897302966562816,everyone,"Do you like my pokemon? 🥺💕 
#成都同城 #成都资源 #成都 https://t.co/ck97ATxxrr",0,0,0,0,0,,,
[<ReferencedTweet id=1613706385233178624 type=replied_to],False,1599867868358889477,everyone,"@DMLJRomans @BrennansPen …

Hmm. Is this Biblical? Revelation reveals many had space to repent and repented not. https://t.co/JToDerFFCs",0,0,0,0,0,,,
[<ReferencedTweet id=1613943962884083713 type=quoted],False,1308018111728283650,everyone,"in today's narrative, the ""population bomb"" has been replaced with ""climate change""

many cases of people who don't have kids because they believe a slightly warmer planet will lead to human extinction https://t.co/SwRNsIeCho",0,0,0,0,0,,,
,True,1430323326535143427,everyone,Don’t mistake equality with equal opportunity. The former is an illusion and unnecessary for civilization whilst the latter is a goal we should strive for globally and critical for progress. https://t.co/07lWsD6tKv,0,0,0,0,0,,,
,False,1573122567312793600,everyone,"Check out much more on Bilibili Comics - search ""Martial Rebel"" and favorite!
 
#GL #comicbookcover #weeklycomic

https://t.co/0FNTfNOoHr https://t.co/Ps1UDCZJS8",0,0,0,0,0,,,
[<ReferencedTweet id=1613947986312138764 type=quoted],False,865806582080299008,everyone,"@Arsenal 
@m8arteta 
Do it😎 https://t.co/F5FTQv1Ats",0,0,0,0,0,,,
